,indexed,inst_price,short_avg,long_avg,long_pos,short_pos,long_pct_gain,short_pct_gain,total_pct_gain,inv_value
2013-10-10,1.16309567813,1692.560059,1692.53400885,1661.51550295,True,False,0.0,-0.0,0.0,1.4575482338
2013-10-11,1.1704072133,1703.199951,1693.2945069,1662.0515027,True,False,0.006286271464,-0.0,0.006286271464,1.46671077767
2013-10-14,1.17517629574,1710.140015,1693.92150885,1662.65690309,True,False,0.0040747206433,-0.0,0.0040747206433,1.47268721435
2013-10-15,1.16687517546,1698.060059,1693.5865113,1663.03690309,True,False,-0.00706372337589,0.0,-0.00706372337589,1.46228455925
2013-10-16,1.18301017943,1721.540039,1693.38751225,1663.76870363,True,False,0.0138275321156,-0.0,0.0138275321156,1.48250434596
2013-10-17,1.1909883444,1733.150024,1693.92801515,1664.55610353,True,False,0.00674395293574,-0.0,0.00674395293574,1.49250228549
2013-10-18,1.19878783604,1744.5,1695.65751345,1665.69370363,True,False,0.00654875564309,-0.0,0.00654875564309,1.50227631826
2013-10-21,1.19889780842,1744.660034,1697.79851685,1666.73610353,True,False,9.17363141302e-05,-0.0,9.17363141302e-05,1.50241413155
2013-10-22,1.20577650044,1754.670044,1700.66101685,1667.96900392,True,False,0.00573751321457,-0.0,0.00573751321457,1.51103425248
2013-10-23,1.20007974038,1746.380005,1703.3415161,1669.34380373,True,False,-0.0047245572057,0.0,-0.0047245572057,1.50389528472
2013-10-24,1.20398976163,1752.069946,1706.0115112,1670.6389026,True,False,0.00325813453184,-0.0,0.00325813453184,1.50879517788
2013-10-25,1.20928110875,1759.77002,1709.4125122,1671.80280275,True,False,0.00439484394877,-0.0,0.00439484394877,1.51542609723
2013-10-28,1.21088908901,1762.109985,1713.440509,1672.99580201,True,False,0.0013296993206,-0.0,0.0013296993206,1.51744115828
2013-10-29,1.21765092997,1771.949951,1717.28800655,1674.45400147,True,False,0.00558419513184,-0.0,0.00558419513184,1.52591484581
2013-10-30,1.21171375747,1763.310059,1720.76000975,1675.96190186,True,False,-0.00487592327036,0.0,-0.00487592327036,1.51847460211
2013-10-31,1.2070615261,1756.540039,1724.65401,1677.1637024,True,False,-0.00383938148906,0.0,-0.00383938148906,1.51264459883
2013-11-01,1.2105661344,1761.640015,1728.21101075,1678.51280275,True,False,0.00290342143462,-0.0,0.00290342143462,1.51703644358
2013-11-04,1.21488853179,1767.930054,1732.8015137,1679.8017029,True,False,0.00357055865355,-0.0,0.00357055865355,1.52245311118
2013-11-05,1.21148005534,1762.969971,1738.1775147,1680.91330202,True,False,-0.00280558780523,0.0,-0.00280558780523,1.5181817353
2013-11-06,1.21664767202,1770.48999,1743.882013,1682.32890138,True,False,0.00426554003965,-0.0,0.00426554003965,1.52465760028
2013-11-07,1.20060888307,1747.150024,1746.61151125,1683.91850221,True,False,-0.0131827720754,0.0,-0.0131827720754,1.50455838664
2013-11-08,1.21673013035,1770.609985,1749.98201295,1685.70030152,True,False,0.0134275595557,-0.0,0.0134275595557,1.52476093398
2013-11-11,1.21760974307,1771.890015,1753.06951295,1687.68830201,True,False,0.000722931651151,-0.0,0.000722931651151,1.52586323192
2013-11-12,1.21472353062,1767.689941,1756.55100705,1689.48490113,True,False,-0.00237039204716,0.0,-0.00237039204716,1.52224633785
2013-11-13,1.22455713604,1782.0,1759.5740051,1691.27230103,True,False,0.00809534447648,-0.0,0.00809534447648,1.53456944634
2013-11-14,1.2304806357,1790.619995,1762.44750365,1693.04650147,True,False,0.00483725869809,-0.0,0.00483725869809,1.54199255574
2013-11-15,1.23567576712,1798.180054,1765.13150635,1694.96550172,True,False,0.00422203427925,-0.0,0.00422203427925,1.54850290117
2013-11-18,1.23110599408,1791.530029,1767.4750061,1696.7312024,True,False,-0.00369819751098,0.0,-0.00369819751098,1.54277623159
2013-11-19,1.22859088703,1787.869995,1769.13500365,1698.46910279,True,False,-0.00204296547686,0.0,-0.00204296547686,1.53962439301
2013-11-20,1.22412420837,1781.369995,1770.88450315,1700.1287024,True,False,-0.00363561110046,0.0,-0.00363561110046,1.53402691748
2013-11-21,1.23407458102,1795.849976,1773.07350465,1701.93310182,True,False,0.00812856455461,-0.0,0.00812856455461,1.54649635431
2013-11-22,1.24019739006,1804.76001,1775.32300415,1703.66180177,True,False,0.0049614578718,-0.0,0.0049614578718,1.55416923082
2013-11-25,1.23863059601,1802.47998,1777.3415039,1705.28200196,True,False,-0.00126334248729,0.0,-0.00126334248729,1.55220578279
2013-11-26,1.23881614871,1802.75,1778.88150635,1706.7863025,True,False,0.000149804715168,-0.0,0.000149804715168,1.55243831054
2013-11-27,1.24189470734,1807.22998,1781.0775024,1708.33240235,True,False,0.00248508112606,-0.0,0.00248508112606,1.55629624568
2013-11-28,1.24189470734,1807.22998,1783.61199945,1709.65450195,True,False,0.0,-0.0,0.0,1.55629624568
2013-11-29,1.24091896413,1805.810059,1785.82050165,1710.91070313,True,False,-0.000785689157282,0.0,-0.000785689157282,1.5550734806
2013-12-02,1.23754487974,1800.900024,1787.46900015,1712.09470337,True,False,-0.00271902073838,0.0,-0.00271902073838,1.55084520355
2013-12-03,1.23359358707,1795.150024,1789.0780028,1713.28360351,True,False,-0.00319284797788,0.0,-0.00319284797788,1.54589359058
2013-12-04,1.2319856068,1792.810059,1790.19400625,1714.40260376,True,False,-0.00130349272691,0.0,-0.00130349272691,1.54387852953
2013-12-05,1.22663931541,1785.030029,1792.0880065,1715.3592041,True,False,-0.00433957292963,0.0,-0.00433957292963,1.53717875606
2013-12-06,1.24042412967,1805.089966,1793.81200555,1716.4892041,True,False,0.0112378708896,-0.0,0.0112378708896,1.55445337245
2013-12-09,1.24267810437,1808.369995,1795.63600455,1717.61760376,True,False,0.00181710001262,-0.0,0.00181710001262,1.5572779697
2013-12-10,1.2387268117,1802.619995,1797.38250725,1718.71990356,True,False,-0.00317965903875,0.0,-0.00317965903875,1.55232635672
2013-12-11,1.22470829601,1782.219971,1797.3935058,1719.68270386,True,False,-0.0113168743588,0.0,-0.0113168743588,1.53475887438
2013-12-12,1.22009045738,1775.5,1796.63750605,1720.53520386,True,False,-0.00377056205707,0.0,-0.00377056205707,1.5289719708
2013-12-13,1.21996672763,1775.319946,1795.49450065,1721.37190308,True,False,-0.000101410306956,0.0,-0.000101410306956,1.52881691728
2013-12-16,1.2276769661,1786.540039,1795.24500115,1722.38400391,True,False,0.00632003995972,-0.0,0.00632003995972,1.53847910129
2013-12-17,1.22386995471,1781.0,1794.9015014,1723.3344043,True,False,-0.00310098787548,0.0,-0.00310098787548,1.53370829625
2013-12-18,1.24424489774,1810.650024,1796.36550285,1724.58360474,True,False,0.0166479640651,-0.0,0.0166479640651,1.55924141686
2013-12-19,1.24352332435,1809.599976,1797.05300285,1725.61090455,True,False,-0.00057992874718,0.0,-0.00057992874718,1.55833716793
2013-12-20,1.24951552496,1818.319946,1797.73099965,1726.69740357,True,False,0.00481872795958,-0.0,0.00481872795958,1.56584637082
